# TiO2_RTP_oxigeno
# Longitud_de_onda[nm]	Indice_refraccion
478.2549	2.569121
477.7579	2.570825
477.2608	2.572531
476.7635	2.574237
476.2662	2.575945
475.7687	2.577653
475.2711	2.579363
474.7734	2.581073
474.2756	2.582785
473.7776	2.584497
473.2796	2.586210
472.7814	2.587924
472.2831	2.589639
471.7848	2.591354
471.2863	2.593071
470.7876	2.594788
470.2889	2.596506
469.7900	2.598225
469.2911	2.599944
468.7920	2.601664
468.2928	2.603385
467.7935	2.605106
467.2941	2.606827
466.7945	2.608550
466.2949	2.610273
465.7951	2.611996
465.2952	2.613720
464.7952	2.615444
464.2951	2.617169
463.7949	2.618893
463.2946	2.620619
462.7941	2.622344
462.2935	2.624070
461.7928	2.625797
461.2921	2.627523
460.7911	2.629250
460.2901	2.630976
459.7889	2.632703
459.2877	2.634430
458.7863	2.636157
458.2848	2.637884
457.7832	2.639611
457.2815	2.641338
456.7796	2.643065
456.2777	2.644791
455.7756	2.646518
455.2734	2.648244
454.7711	2.649970
454.2687	2.651696
453.7662	2.653422
453.2635	2.655147
452.7608	2.656871
452.2579	2.658596
451.7549	2.660320
451.2518	2.662043
450.7485	2.663766
450.2452	2.665488
449.7417	2.667210
449.2382	2.668930
448.7345	2.670650
448.2307	2.672369
447.7267	2.674088
447.2227	2.675806
446.7186	2.677522
446.2143	2.679238
445.7099	2.680953
445.2054	2.682666
444.7008	2.684379
444.1960	2.686090
443.6912	2.687800
443.1862	2.689510
442.6812	2.691217
442.1759	2.692923
441.6706	2.694628
441.1652	2.696331
440.6596	2.698033
440.1540	2.699733
