# Lambda(nm) R(%)
6.037593984962405784e+02 8.101109929578376168e-02
6.052631578947368780e+02 8.165644278281433688e-02
6.067669172932330639e+02 8.230778237331513869e-02
6.082706766917292498e+02 8.296673704312898523e-02
6.097744360902255494e+02 8.365095435141688129e-02
6.112781954887218490e+02 8.433019510891853754e-02
6.127819548872180349e+02 8.502189853967703770e-02
6.142857142857142208e+02 8.571499230672714742e-02
6.157894736842105203e+02 8.641401873663691335e-02
6.172932330827068199e+02 8.711985259394658399e-02
6.187969924812030058e+02 8.783037069330955349e-02
6.203007518796991917e+02 8.853645903875892453e-02
6.218045112781954913e+02 8.922621290363885738e-02
6.233082706766917909e+02 8.991876067113999116e-02
6.248120300751879768e+02 9.061133690334007007e-02
6.263157894736841627e+02 9.131301353540503818e-02
6.278195488721804622e+02 9.204015428433406920e-02
6.293233082706767618e+02 9.277698796874454812e-02
6.308270676691729477e+02 9.351278866623707886e-02
6.323308270676691336e+02 9.425129753161483326e-02
6.338345864661654332e+02 9.496944895555517463e-02
6.353383458646617328e+02 9.568203569515409956e-02
6.368421052631579187e+02 9.639445190618904646e-02
6.383458646616541046e+02 9.710551240239957693e-02
6.398496240601504041e+02 9.781648897599289072e-02
6.413533834586465900e+02 9.852925383016626626e-02
6.428571428571428896e+02 9.924158304306103517e-02
6.443609022556390755e+02 9.995200782669880213e-02
6.458646616541352614e+02 1.006629023678471957e-01
6.473684210526315610e+02 1.013748813297425111e-01
6.488721804511278606e+02 1.020865523215323672e-01
6.503759398496240465e+02 1.027951552406815572e-01
6.518796992481202324e+02 1.035049133357923007e-01
6.533834586466165320e+02 1.042065700377186876e-01
6.548872180451128315e+02 1.048986738224778753e-01
6.563909774436090174e+02 1.055904847346239295e-01
6.578947368421052033e+02 1.062822974555054090e-01
6.593984962406015029e+02 1.069775560453425506e-01
6.609022556390978025e+02 1.076796940787086432e-01
6.624060150375939884e+02 1.083885257235479294e-01
6.639097744360901743e+02 1.090887152922775521e-01
6.654135338345864739e+02 1.097953271189881647e-01
6.669172932330827734e+02 1.105002938963983439e-01
6.684210526315789593e+02 1.111975953715631793e-01
6.699248120300751452e+02 1.119002531224460445e-01
6.714285714285714448e+02 1.125948244270461585e-01
6.729323308270677444e+02 1.132949794213641559e-01
6.744360902255639303e+02 1.139899588554393328e-01
6.759398496240601162e+02 1.146838453909847788e-01
6.774436090225564158e+02 1.153754252223761767e-01
6.789473684210527153e+02 1.160665537512325651e-01
6.804511278195489012e+02 1.167554307177912226e-01
6.819548872180450871e+02 1.174360946837970376e-01
6.834586466165412730e+02 1.181066551452656932e-01
6.849624060150375726e+02 1.187757514424343519e-01
6.864661654135338722e+02 1.194433267408045451e-01
6.879699248120300581e+02 1.201093258894836979e-01
6.894736842105262440e+02 1.207740212541986990e-01
6.909774436090225436e+02 1.214367605891401442e-01
6.924812030075188432e+02 1.220981965519130075e-01
6.939849624060150290e+02 1.227574738120709719e-01
6.954887218045112149e+02 1.234154533093360234e-01
6.969924812030075145e+02 1.240791451491805031e-01
6.984962406015038141e+02 1.247460572156063735e-01
